Local Date/Time	Relative Time	pump-b:speed [µL/min]
06/15/2022 13:23:01	00:00:00.001	0.000
06/15/2022 13:23:02	00:00:00.918	1.828
06/15/2022 13:23:02	00:00:00.961	-306.258
06/15/2022 13:23:02	00:00:01.010	-306.376
06/15/2022 13:23:02	00:00:01.038	-303.080
06/15/2022 13:23:02	00:00:01.068	-302.851
06/15/2022 13:23:02	00:00:01.134	-302.972
06/15/2022 13:23:02	00:00:01.170	-302.625
06/15/2022 13:23:02	00:00:01.208	-302.661
06/15/2022 13:23:02	00:00:01.248	-291.701
06/15/2022 13:23:02	00:00:01.290	-169.886
06/15/2022 13:23:02	00:00:01.334	-140.410
06/15/2022 13:23:02	00:00:01.380	6.604
06/15/2022 13:23:02	00:00:01.429	10.227
06/15/2022 13:23:02	00:00:01.479	185.104
06/15/2022 13:23:02	00:00:01.533	166.104
06/15/2022 13:23:02	00:00:01.587	279.719
06/15/2022 13:23:03	00:00:01.643	251.632
06/15/2022 13:23:03	00:00:01.701	215.543
06/15/2022 13:23:03	00:00:01.761	28.891
06/15/2022 13:23:03	00:00:01.823	26.902
06/15/2022 13:23:03	00:00:01.887	-85.773
06/15/2022 13:23:03	00:00:01.953	-79.764
06/15/2022 13:23:03	00:00:02.021	-243.900
06/15/2022 13:23:03	00:00:02.085	-303.752
06/15/2022 13:23:03	00:00:02.099	-303.628
06/15/2022 13:23:03	00:00:02.129	0.000
06/15/2022 13:23:04	00:00:03.635	0.000
06/15/2022 13:23:05	00:00:04.636	0.000
06/15/2022 13:23:06	00:00:05.639	0.000
06/15/2022 13:23:07	00:00:06.650	0.000
06/15/2022 13:23:08	00:00:07.650	0.000
06/15/2022 13:23:09	00:00:08.651	0.000
06/15/2022 13:23:10	00:00:09.666	0.000
06/15/2022 13:23:11	00:00:10.668	0.000
06/15/2022 13:23:12	00:00:11.668	0.000
06/15/2022 13:23:13	00:00:12.682	0.000
06/15/2022 13:23:14	00:00:13.682	0.000
06/15/2022 13:23:15	00:00:14.683	0.000
06/15/2022 13:23:16	00:00:15.683	0.000
06/15/2022 13:23:17	00:00:16.700	0.000
06/15/2022 13:23:18	00:00:17.712	0.000
06/15/2022 13:23:19	00:00:18.717	0.000
06/15/2022 13:23:20	00:00:19.728	0.000
06/15/2022 13:23:21	00:00:20.728	0.000
06/15/2022 13:23:22	00:00:21.730	0.000
06/15/2022 13:23:23	00:00:22.746	0.000
06/15/2022 13:23:24	00:00:23.761	0.000
06/15/2022 13:23:25	00:00:24.761	0.000
06/15/2022 13:23:26	00:00:25.763	0.000
06/15/2022 13:23:27	00:00:26.775	0.000
06/15/2022 13:23:28	00:00:27.776	0.000
06/15/2022 13:23:29	00:00:28.777	0.000
06/15/2022 13:23:30	00:00:29.782	0.000
06/15/2022 13:23:31	00:00:30.790	0.000
06/15/2022 13:23:32	00:00:31.791	0.000
06/15/2022 13:23:33	00:00:32.792	0.000
06/15/2022 13:23:35	00:00:33.953	0.000
06/15/2022 13:23:35	00:00:34.807	0.000
06/15/2022 13:23:36	00:00:35.808	0.000
06/15/2022 13:23:37	00:00:36.822	0.000
06/15/2022 13:23:38	00:00:37.822	0.000
06/15/2022 13:23:39	00:00:38.823	0.000
06/15/2022 13:23:40	00:00:39.825	0.000
06/15/2022 13:23:41	00:00:40.839	0.000
06/15/2022 13:23:42	00:00:41.839	0.000
06/15/2022 13:23:43	00:00:42.840	0.000
06/15/2022 13:23:44	00:00:43.841	0.000
06/15/2022 13:23:45	00:00:44.852	0.000
06/15/2022 13:23:46	00:00:45.854	0.000
06/15/2022 13:23:47	00:00:46.854	0.000
06/15/2022 13:23:48	00:00:47.870	0.000
06/15/2022 13:23:49	00:00:48.885	0.000
06/15/2022 13:23:50	00:00:49.886	0.000
06/15/2022 13:23:51	00:00:50.888	0.000
06/15/2022 13:23:52	00:00:51.888	0.000
06/15/2022 13:23:54	00:00:52.920	0.000
06/15/2022 13:23:55	00:00:53.917	0.000
06/15/2022 13:23:56	00:00:54.932	0.000
06/15/2022 13:23:57	00:00:55.933	0.000
06/15/2022 13:23:58	00:00:56.933	0.000
06/15/2022 13:23:59	00:00:57.934	0.000
06/15/2022 13:24:00	00:00:58.934	0.000
06/15/2022 13:24:01	00:00:59.936	0.000
06/15/2022 13:24:02	00:01:00.937	0.000
06/15/2022 13:24:03	00:01:01.947	0.000
06/15/2022 13:24:04	00:01:02.946	0.000
06/15/2022 13:24:05	00:01:03.947	0.000
06/15/2022 13:24:06	00:01:04.949	0.000
06/15/2022 13:24:07	00:01:05.962	0.000
06/15/2022 13:24:08	00:01:06.963	0.000
06/15/2022 13:24:09	00:01:07.979	0.000
06/15/2022 13:24:10	00:01:08.994	0.000
06/15/2022 13:24:11	00:01:10.009	0.000
06/15/2022 13:24:12	00:01:11.010	0.000
06/15/2022 13:24:13	00:01:12.011	0.000
06/15/2022 13:24:14	00:01:13.012	0.000
06/15/2022 13:24:15	00:01:14.013	0.000
06/15/2022 13:24:16	00:01:15.028	0.000
06/15/2022 13:24:17	00:01:16.042	0.000
06/15/2022 13:24:18	00:01:17.044	0.000
06/15/2022 13:24:19	00:01:18.043	0.000
06/15/2022 13:24:20	00:01:19.046	0.000
06/15/2022 13:24:21	00:01:20.059	0.000
06/15/2022 13:24:22	00:01:21.071	0.000
06/15/2022 13:24:23	00:01:22.073	0.000
06/15/2022 13:24:24	00:01:23.074	0.000
06/15/2022 13:24:25	00:01:24.075	0.000
06/15/2022 13:24:26	00:01:25.075	0.000
06/15/2022 13:24:27	00:01:26.090	0.000
06/15/2022 13:24:28	00:01:27.089	0.000
06/15/2022 13:24:29	00:01:28.092	0.000
06/15/2022 13:24:30	00:01:29.091	0.000
06/15/2022 13:24:31	00:01:30.103	0.000
06/15/2022 13:24:32	00:01:31.104	0.000
06/15/2022 13:24:33	00:01:32.104	0.000
06/15/2022 13:24:34	00:01:33.107	0.000
06/15/2022 13:24:35	00:01:34.120	0.000
06/15/2022 13:24:36	00:01:35.134	0.000
06/15/2022 13:24:37	00:01:36.134	0.000
06/15/2022 13:24:38	00:01:37.134	0.000
06/15/2022 13:24:39	00:01:38.134	0.000
06/15/2022 13:24:40	00:01:39.136	0.000
06/15/2022 13:24:41	00:01:40.137	0.000
06/15/2022 13:24:42	00:01:41.150	0.000
06/15/2022 13:24:43	00:01:42.151	0.000
06/15/2022 13:24:44	00:01:43.166	0.000
06/15/2022 13:24:45	00:01:44.166	0.000
06/15/2022 13:24:46	00:01:45.168	0.000
06/15/2022 13:24:47	00:01:46.168	0.000
06/15/2022 13:24:48	00:01:47.170	0.000
06/15/2022 13:24:49	00:01:48.181	0.000
06/15/2022 13:24:50	00:01:49.181	0.000
06/15/2022 13:24:51	00:01:50.199	0.000
06/15/2022 13:24:52	00:01:51.213	0.000
06/15/2022 13:24:53	00:01:52.228	0.000
06/15/2022 13:24:54	00:01:53.244	0.000
06/15/2022 13:24:55	00:01:54.246	0.000
06/15/2022 13:24:56	00:01:55.260	0.000
06/15/2022 13:24:57	00:01:56.261	0.000
06/15/2022 13:24:58	00:01:57.276	0.000
06/15/2022 13:24:59	00:01:58.275	0.000
06/15/2022 13:25:00	00:01:59.278	0.000
06/15/2022 13:25:01	00:02:00.293	0.000
06/15/2022 13:25:02	00:02:01.292	0.000
06/15/2022 13:25:03	00:02:02.305	0.000
06/15/2022 13:25:04	00:02:03.305	0.000
06/15/2022 13:25:05	00:02:04.306	0.000
06/15/2022 13:25:06	00:02:05.321	0.000
06/15/2022 13:25:07	00:02:06.337	0.000
06/15/2022 13:25:08	00:02:07.352	0.000
06/15/2022 13:25:09	00:02:08.369	0.000
06/15/2022 13:25:10	00:02:09.383	0.000
06/15/2022 13:25:11	00:02:10.383	0.000
06/15/2022 13:25:12	00:02:11.383	0.000
06/15/2022 13:25:13	00:02:12.386	0.000
06/15/2022 13:25:14	00:02:13.386	0.000
06/15/2022 13:25:15	00:02:14.399	0.000
06/15/2022 13:25:16	00:02:15.400	0.000
06/15/2022 13:25:17	00:02:16.415	0.000
06/15/2022 13:25:18	00:02:17.431	0.000
06/15/2022 13:25:19	00:02:18.430	0.000
06/15/2022 13:25:20	00:02:19.431	0.000
06/15/2022 13:25:21	00:02:20.432	0.000
06/15/2022 13:25:22	00:02:21.447	0.000
06/15/2022 13:25:23	00:02:22.449	0.000
06/15/2022 13:25:24	00:02:23.464	0.000
06/15/2022 13:25:25	00:02:24.463	0.000
06/15/2022 13:25:26	00:02:25.466	0.000
06/15/2022 13:25:27	00:02:26.462	0.000
06/15/2022 13:25:28	00:02:27.463	0.000
06/15/2022 13:25:29	00:02:28.464	0.000
06/15/2022 13:25:30	00:02:29.479	0.000
06/15/2022 13:25:31	00:02:30.493	0.000
06/15/2022 13:25:32	00:02:31.494	0.000
06/15/2022 13:25:33	00:02:32.493	0.000
06/15/2022 13:25:34	00:02:33.495	0.000
06/15/2022 13:25:35	00:02:34.509	0.000
06/15/2022 13:25:36	00:02:35.510	0.000
06/15/2022 13:25:37	00:02:36.510	0.000
06/15/2022 13:25:38	00:02:37.524	0.000
06/15/2022 13:25:39	00:02:38.525	0.000
06/15/2022 13:25:40	00:02:39.526	0.000
06/15/2022 13:25:41	00:02:40.547	0.000
06/15/2022 13:25:42	00:02:41.559	0.000
06/15/2022 13:25:43	00:02:42.558	0.000
06/15/2022 13:25:44	00:02:43.567	0.000
06/15/2022 13:25:45	00:02:44.576	0.000
06/15/2022 13:25:46	00:02:45.587	0.000
06/15/2022 13:25:47	00:02:46.586	0.000
06/15/2022 13:25:48	00:02:47.586	0.000
06/15/2022 13:25:49	00:02:48.587	0.000
06/15/2022 13:25:50	00:02:49.588	0.000
06/15/2022 13:25:51	00:02:50.603	0.000
06/15/2022 13:25:52	00:02:51.617	0.000
06/15/2022 13:25:53	00:02:52.617	0.000
06/15/2022 13:25:54	00:02:53.634	0.000
06/15/2022 13:25:55	00:02:54.633	0.000
06/15/2022 13:25:56	00:02:55.634	0.000
06/15/2022 13:25:57	00:02:56.634	0.000
06/15/2022 13:25:58	00:02:57.635	0.000
06/15/2022 13:25:59	00:02:58.634	0.000
06/15/2022 13:26:00	00:02:59.635	0.000
06/15/2022 13:26:01	00:03:00.634	0.000
06/15/2022 13:26:02	00:03:01.635	0.000
06/15/2022 13:26:03	00:03:02.634	0.000
06/15/2022 13:26:04	00:03:03.635	0.000
06/15/2022 13:26:05	00:03:04.635	0.000
06/15/2022 13:26:06	00:03:05.634	0.000
06/15/2022 13:26:07	00:03:06.634	0.000
06/15/2022 13:26:08	00:03:07.636	0.000
06/15/2022 13:26:09	00:03:08.648	0.000
06/15/2022 13:26:10	00:03:09.651	0.000
06/15/2022 13:26:11	00:03:10.666	0.000
06/15/2022 13:26:12	00:03:11.668	0.000
06/15/2022 13:26:13	00:03:12.681	0.000
06/15/2022 13:26:14	00:03:13.681	0.000
06/15/2022 13:26:15	00:03:14.684	0.000
06/15/2022 13:26:16	00:03:15.698	0.000
06/15/2022 13:26:17	00:03:16.714	0.000
06/15/2022 13:26:18	00:03:17.713	0.000
06/15/2022 13:26:19	00:03:18.727	0.000
06/15/2022 13:26:20	00:03:19.729	0.000
06/15/2022 13:26:21	00:03:20.729	0.000
06/15/2022 13:26:22	00:03:21.729	0.000
06/15/2022 13:26:23	00:03:22.743	0.000
06/15/2022 13:26:24	00:03:23.744	0.000
06/15/2022 13:26:25	00:03:24.746	0.000
06/15/2022 13:26:26	00:03:25.758	0.000
06/15/2022 13:26:27	00:03:26.772	0.000
06/15/2022 13:26:28	00:03:27.786	0.000
06/15/2022 13:26:29	00:03:28.800	0.000
06/15/2022 13:26:30	00:03:29.805	0.000
06/15/2022 13:26:31	00:03:30.820	0.000
06/15/2022 13:26:32	00:03:31.834	0.000
06/15/2022 13:26:33	00:03:32.849	0.000
06/15/2022 13:26:34	00:03:33.860	0.000
06/15/2022 13:26:35	00:03:34.873	0.000
06/15/2022 13:26:36	00:03:35.892	0.000
06/15/2022 13:26:37	00:03:36.902	0.000
06/15/2022 13:26:39	00:03:37.917	0.000
06/15/2022 13:26:40	00:03:38.917	0.000
06/15/2022 13:26:41	00:03:39.917	0.000
06/15/2022 13:26:42	00:03:40.931	0.000
06/15/2022 13:26:43	00:03:41.931	0.000
06/15/2022 13:26:44	00:03:42.932	0.000
06/15/2022 13:26:45	00:03:43.932	0.000
06/15/2022 13:26:46	00:03:44.932	0.000
06/15/2022 13:26:47	00:03:45.932	0.000
06/15/2022 13:26:48	00:03:46.933	0.000
06/15/2022 13:26:49	00:03:47.931	0.000
06/15/2022 13:26:50	00:03:48.946	0.000
06/15/2022 13:26:51	00:03:49.947	0.000
06/15/2022 13:26:52	00:03:50.964	0.000
06/15/2022 13:26:53	00:03:51.962	0.000
06/15/2022 13:26:54	00:03:52.962	0.000
06/15/2022 13:26:55	00:03:53.961	0.000
06/15/2022 13:26:56	00:03:54.963	0.000
06/15/2022 13:26:57	00:03:55.962	0.000
06/15/2022 13:26:58	00:03:56.964	0.000
06/15/2022 13:26:59	00:03:57.978	0.000
06/15/2022 13:27:00	00:03:58.977	0.000
06/15/2022 13:27:01	00:03:59.979	0.000
06/15/2022 13:27:02	00:04:00.994	0.000
06/15/2022 13:27:03	00:04:01.995	0.000
06/15/2022 13:27:04	00:04:02.994	0.000
06/15/2022 13:27:05	00:04:03.996	0.000
06/15/2022 13:27:06	00:04:05.011	0.000
06/15/2022 13:27:07	00:04:06.024	0.000
06/15/2022 13:27:08	00:04:07.040	0.000
06/15/2022 13:27:09	00:04:08.053	0.000
06/15/2022 13:27:10	00:04:09.065	0.000
06/15/2022 13:27:11	00:04:10.072	0.000
06/15/2022 13:27:12	00:04:11.092	0.000
06/15/2022 13:27:13	00:04:12.090	0.000
06/15/2022 13:27:14	00:04:13.090	0.000
06/15/2022 13:27:15	00:04:14.090	0.000
06/15/2022 13:27:16	00:04:15.102	0.000
06/15/2022 13:27:17	00:04:16.102	0.000
06/15/2022 13:27:18	00:04:17.115	0.000
06/15/2022 13:27:19	00:04:18.128	0.000
06/15/2022 13:27:20	00:04:19.141	0.000
06/15/2022 13:27:21	00:04:20.149	0.000
06/15/2022 13:27:22	00:04:21.163	0.000
06/15/2022 13:27:23	00:04:22.165	0.000
06/15/2022 13:27:24	00:04:23.166	0.000
06/15/2022 13:27:25	00:04:24.171	0.000
06/15/2022 13:27:26	00:04:25.181	0.000
06/15/2022 13:27:27	00:04:26.196	0.000
06/15/2022 13:27:28	00:04:27.196	0.000
06/15/2022 13:27:29	00:04:28.197	0.000
06/15/2022 13:27:30	00:04:29.197	0.000
06/15/2022 13:27:31	00:04:30.198	0.000
06/15/2022 13:27:32	00:04:31.197	0.000
06/15/2022 13:27:33	00:04:32.198	0.000
06/15/2022 13:27:34	00:04:33.213	0.000
06/15/2022 13:27:35	00:04:34.213	0.000
06/15/2022 13:27:36	00:04:35.213	0.000
06/15/2022 13:27:37	00:04:36.227	0.000
06/15/2022 13:27:38	00:04:37.229	0.000
06/15/2022 13:27:39	00:04:38.234	0.000
06/15/2022 13:27:40	00:04:39.229	0.000
06/15/2022 13:27:41	00:04:40.244	0.000
06/15/2022 13:27:42	00:04:41.244	0.000
06/15/2022 13:27:43	00:04:42.246	0.000
06/15/2022 13:27:44	00:04:43.245	0.000
06/15/2022 13:27:45	00:04:44.245	0.000
06/15/2022 13:27:46	00:04:45.246	0.000
06/15/2022 13:27:47	00:04:46.260	0.000
06/15/2022 13:27:48	00:04:47.261	0.000
06/15/2022 13:27:49	00:04:48.274	0.000
06/15/2022 13:27:50	00:04:49.275	0.000
06/15/2022 13:27:51	00:04:50.275	0.000
06/15/2022 13:27:52	00:04:51.276	0.000
06/15/2022 13:27:53	00:04:52.277	0.000
06/15/2022 13:27:54	00:04:53.292	0.000
06/15/2022 13:27:55	00:04:54.293	0.000
06/15/2022 13:27:56	00:04:55.293	0.000
06/15/2022 13:27:57	00:04:56.294	0.000
06/15/2022 13:27:58	00:04:57.308	0.000
06/15/2022 13:27:59	00:04:58.330	0.000
06/15/2022 13:28:00	00:04:59.327	0.000
06/15/2022 13:28:01	00:05:00.337	0.000
06/15/2022 13:28:02	00:05:01.337	0.000
06/15/2022 13:28:03	00:05:02.337	0.000
06/15/2022 13:28:04	00:05:03.337	0.000
06/15/2022 13:28:05	00:05:04.351	0.000
06/15/2022 13:28:06	00:05:05.366	0.000
06/15/2022 13:28:07	00:05:06.368	0.000
06/15/2022 13:28:08	00:05:07.370	0.000
06/15/2022 13:28:09	00:05:08.384	0.000
06/15/2022 13:28:10	00:05:09.385	0.000
06/15/2022 13:28:11	00:05:10.401	0.000
06/15/2022 13:28:12	00:05:11.416	0.000
06/15/2022 13:28:13	00:05:12.416	0.000
06/15/2022 13:28:14	00:05:13.416	0.000
06/15/2022 13:28:15	00:05:14.418	0.000
06/15/2022 13:28:16	00:05:15.430	0.000
06/15/2022 13:28:17	00:05:16.433	0.000
06/15/2022 13:28:18	00:05:17.430	0.000
06/15/2022 13:28:19	00:05:18.432	0.000
06/15/2022 13:28:20	00:05:19.431	0.000
06/15/2022 13:28:21	00:05:20.433	0.000
06/15/2022 13:28:22	00:05:21.451	0.000
06/15/2022 13:28:23	00:05:22.462	0.000
06/15/2022 13:28:24	00:05:23.462	0.000
06/15/2022 13:28:25	00:05:24.462	0.000
06/15/2022 13:28:26	00:05:25.462	0.000
06/15/2022 13:28:27	00:05:26.464	0.000
06/15/2022 13:28:28	00:05:27.464	0.000
06/15/2022 13:28:29	00:05:28.477	0.000
06/15/2022 13:28:30	00:05:29.478	0.000
06/15/2022 13:28:31	00:05:30.479	0.000
06/15/2022 13:28:32	00:05:31.479	0.000
06/15/2022 13:28:33	00:05:32.479	0.000
06/15/2022 13:28:34	00:05:33.494	0.000
06/15/2022 13:28:35	00:05:34.508	0.000
06/15/2022 13:28:36	00:05:35.514	0.000
06/15/2022 13:28:37	00:05:36.510	0.000
06/15/2022 13:28:38	00:05:37.509	0.000
06/15/2022 13:28:39	00:05:38.511	0.000
06/15/2022 13:28:40	00:05:39.525	0.000
06/15/2022 13:28:41	00:05:40.524	0.000
06/15/2022 13:28:42	00:05:41.526	0.000
06/15/2022 13:28:43	00:05:42.541	0.000
06/15/2022 13:28:44	00:05:43.542	0.000
06/15/2022 13:28:45	00:05:44.543	0.000
06/15/2022 13:28:46	00:05:45.544	0.000
06/15/2022 13:28:47	00:05:46.556	0.000
06/15/2022 13:28:48	00:05:47.558	0.000
06/15/2022 13:28:49	00:05:48.556	0.000
06/15/2022 13:28:50	00:05:49.557	0.000
06/15/2022 13:28:51	00:05:50.558	0.000
06/15/2022 13:28:52	00:05:51.558	0.000
06/15/2022 13:28:53	00:05:52.571	0.000
06/15/2022 13:28:54	00:05:53.573	0.000
06/15/2022 13:28:55	00:05:54.573	0.000
06/15/2022 13:28:56	00:05:55.573	0.000
06/15/2022 13:28:57	00:05:56.591	0.000
06/15/2022 13:28:58	00:05:57.592	0.000
06/15/2022 13:28:59	00:05:58.591	0.000
06/15/2022 13:29:00	00:05:59.591	0.000
06/15/2022 13:29:01	00:06:00.604	0.000
06/15/2022 13:29:02	00:06:01.603	0.000
06/15/2022 13:29:03	00:06:02.621	0.000
06/15/2022 13:29:04	00:06:03.621	0.000
06/15/2022 13:29:05	00:06:04.620	0.000
06/15/2022 13:29:06	00:06:05.635	0.000
06/15/2022 13:29:07	00:06:06.635	0.000
06/15/2022 13:29:08	00:06:07.636	0.000
06/15/2022 13:29:09	00:06:08.637	0.000
06/15/2022 13:29:10	00:06:09.650	0.000
06/15/2022 13:29:11	00:06:10.666	0.000
06/15/2022 13:29:12	00:06:11.666	0.000
06/15/2022 13:29:13	00:06:12.666	0.000
06/15/2022 13:29:14	00:06:13.666	0.000
06/15/2022 13:29:15	00:06:14.667	0.000
06/15/2022 13:29:16	00:06:15.670	0.000
06/15/2022 13:29:17	00:06:16.668	0.000
06/15/2022 13:29:18	00:06:17.680	0.000
06/15/2022 13:29:19	00:06:18.681	0.000
06/15/2022 13:29:20	00:06:19.683	0.000
06/15/2022 13:29:21	00:06:20.683	0.000
06/15/2022 13:29:22	00:06:21.696	0.000
06/15/2022 13:29:23	00:06:22.697	0.000
06/15/2022 13:29:24	00:06:23.698	0.000
06/15/2022 13:29:25	00:06:24.697	0.000
06/15/2022 13:29:26	00:06:25.698	0.000
06/15/2022 13:29:27	00:06:26.698	0.000
06/15/2022 13:29:28	00:06:27.712	0.000
06/15/2022 13:29:29	00:06:28.712	0.000
06/15/2022 13:29:30	00:06:29.712	0.000
06/15/2022 13:29:31	00:06:30.714	0.000
06/15/2022 13:29:32	00:06:31.712	0.000
06/15/2022 13:29:33	00:06:32.714	0.000
06/15/2022 13:29:34	00:06:33.714	0.000
06/15/2022 13:29:35	00:06:34.728	0.000
06/15/2022 13:29:36	00:06:35.728	0.000
06/15/2022 13:29:37	00:06:36.729	0.000
06/15/2022 13:29:38	00:06:37.730	0.000
06/15/2022 13:29:39	00:06:38.745	0.000
06/15/2022 13:29:40	00:06:39.746	0.000
06/15/2022 13:29:41	00:06:40.748	0.000
06/15/2022 13:29:42	00:06:41.749	0.000
06/15/2022 13:29:43	00:06:42.760	0.000
06/15/2022 13:29:44	00:06:43.762	0.000
06/15/2022 13:29:45	00:06:44.762	0.000
06/15/2022 13:29:46	00:06:45.764	0.000
06/15/2022 13:29:47	00:06:46.763	0.000
06/15/2022 13:29:48	00:06:47.774	0.000
06/15/2022 13:29:49	00:06:48.776	0.000
06/15/2022 13:29:50	00:06:49.776	0.000
06/15/2022 13:29:51	00:06:50.790	0.000
06/15/2022 13:29:52	00:06:51.791	0.000
06/15/2022 13:29:53	00:06:52.792	0.000
06/15/2022 13:29:54	00:06:53.792	0.000
06/15/2022 13:29:55	00:06:54.793	0.000
06/15/2022 13:29:56	00:06:55.794	0.000
06/15/2022 13:29:57	00:06:56.806	0.000
06/15/2022 13:29:58	00:06:57.806	0.000
06/15/2022 13:29:59	00:06:58.807	0.000
06/15/2022 13:30:00	00:06:59.808	0.000
06/15/2022 13:30:01	00:07:00.821	0.000
06/15/2022 13:30:02	00:07:01.822	0.000
06/15/2022 13:30:03	00:07:02.833	0.000
06/15/2022 13:30:04	00:07:03.824	0.000
06/15/2022 13:30:05	00:07:04.824	0.000
06/15/2022 13:30:06	00:07:05.837	0.000
06/15/2022 13:30:07	00:07:06.838	0.000
06/15/2022 13:30:08	00:07:07.838	0.000
06/15/2022 13:30:09	00:07:08.839	0.000
06/15/2022 13:30:10	00:07:09.842	0.000
06/15/2022 13:30:11	00:07:10.854	0.000
06/15/2022 13:30:12	00:07:11.855	0.000
06/15/2022 13:30:13	00:07:12.855	0.000
06/15/2022 13:30:14	00:07:13.856	0.000
06/15/2022 13:30:15	00:07:14.868	0.000
06/15/2022 13:30:16	00:07:15.870	0.000
06/15/2022 13:30:17	00:07:16.870	0.000
06/15/2022 13:30:18	00:07:17.886	0.000
06/15/2022 13:30:19	00:07:18.885	0.000
06/15/2022 13:30:20	00:07:19.900	0.000
06/15/2022 13:30:21	00:07:20.902	0.000
06/15/2022 13:30:22	00:07:21.903	0.000
06/15/2022 13:30:24	00:07:22.917	0.000
06/15/2022 13:30:25	00:07:23.917	0.000
06/15/2022 13:30:26	00:07:24.918	0.000
06/15/2022 13:30:27	00:07:25.919	0.000
06/15/2022 13:30:28	00:07:26.931	0.000
06/15/2022 13:30:29	00:07:26.931	0.000
06/15/2022 13:30:29	00:07:27.631	-0.129
06/15/2022 13:30:29	00:07:27.673	742.622
06/15/2022 13:30:29	00:07:27.717	764.091
06/15/2022 13:30:29	00:07:27.741	605.187
06/15/2022 13:30:29	00:07:27.795	604.582
06/15/2022 13:30:29	00:07:27.825	604.757
06/15/2022 13:30:29	00:07:27.859	601.954
06/15/2022 13:30:29	00:07:27.893	602.110
06/15/2022 13:30:29	00:07:27.930	604.941
06/15/2022 13:30:30	00:07:27.968	598.674
06/15/2022 13:30:30	00:07:28.008	598.913
06/15/2022 13:30:30	00:07:28.050	605.069
06/15/2022 13:30:30	00:07:28.094	595.256
06/15/2022 13:30:30	00:07:28.120	604.996
06/15/2022 13:30:30	00:07:28.166	592.215
06/15/2022 13:30:30	00:07:28.200	592.325
06/15/2022 13:30:30	00:07:28.242	604.931
06/15/2022 13:30:30	00:07:28.292	589.238
06/15/2022 13:30:30	00:07:28.320	589.284
06/15/2022 13:30:30	00:07:28.350	604.931
06/15/2022 13:30:30	00:07:28.416	590.855
06/15/2022 13:30:30	00:07:28.452	604.996
06/15/2022 13:30:30	00:07:28.490	590.957
06/15/2022 13:30:30	00:07:28.530	590.754
06/15/2022 13:30:30	00:07:28.571	591.039
06/15/2022 13:30:30	00:07:28.616	604.941
06/15/2022 13:30:30	00:07:28.662	604.849
06/15/2022 13:30:30	00:07:28.712	591.067
06/15/2022 13:30:30	00:07:28.764	591.553
06/15/2022 13:30:30	00:07:28.818	591.673
06/15/2022 13:30:30	00:07:28.871	604.904
06/15/2022 13:30:30	00:07:28.927	180.064
06/15/2022 13:30:31	00:07:28.985	88.452
06/15/2022 13:30:31	00:07:29.045	101.048
06/15/2022 13:30:31	00:07:29.107	17.437
06/15/2022 13:30:31	00:07:29.171	28.514
06/15/2022 13:30:31	00:07:29.239	-195.750
06/15/2022 13:30:31	00:07:29.308	-275.637
06/15/2022 13:30:31	00:07:29.682	-239.786
06/15/2022 13:30:31	00:07:29.762	-39.884
06/15/2022 13:30:31	00:07:29.844	-43.573
06/15/2022 13:30:31	00:07:29.928	-12.023
06/15/2022 13:30:32	00:07:30.013	8.841
06/15/2022 13:30:32	00:07:30.101	22.068
06/15/2022 13:30:32	00:07:30.192	28.992
06/15/2022 13:30:32	00:07:30.283	23.938
06/15/2022 13:30:32	00:07:30.377	15.562
06/15/2022 13:30:32	00:07:30.475	17.307
06/15/2022 13:30:32	00:07:30.579	3.369
06/15/2022 13:30:32	00:07:30.681	-2.652
06/15/2022 13:30:32	00:07:30.784	-8.148
06/15/2022 13:30:32	00:07:30.886	-10.770
06/15/2022 13:30:33	00:07:30.988	-15.269
06/15/2022 13:30:33	00:07:31.090	-17.446
06/15/2022 13:30:33	00:07:31.192	-19.887
06/15/2022 13:30:33	00:07:31.294	-20.017
06/15/2022 13:30:33	00:07:31.396	-25.116
06/15/2022 13:30:33	00:07:31.497	-27.464
06/15/2022 13:30:33	00:07:31.597	-29.498
06/15/2022 13:30:33	00:07:31.697	-34.869
06/15/2022 13:30:33	00:07:31.797	-38.174
06/15/2022 13:30:33	00:07:31.899	-39.621
06/15/2022 13:30:34	00:07:32.001	-41.449
06/15/2022 13:30:34	00:07:32.103	-41.747
06/15/2022 13:30:34	00:07:32.206	-46.075
06/15/2022 13:30:34	00:07:32.308	-46.251
06/15/2022 13:30:34	00:07:32.410	-48.947
06/15/2022 13:30:34	00:07:32.512	-51.030
06/15/2022 13:30:34	00:07:32.614	-53.583
06/15/2022 13:30:34	00:07:32.716	-53.227
06/15/2022 13:30:34	00:07:32.818	-53.095
06/15/2022 13:30:34	00:07:32.919	-53.966
06/15/2022 13:30:35	00:07:33.021	-56.870
06/15/2022 13:30:35	00:07:33.123	-56.809
06/15/2022 13:30:35	00:07:33.225	-56.590
06/15/2022 13:30:35	00:07:33.327	-57.057
06/15/2022 13:30:35	00:07:33.429	-56.688
06/15/2022 13:30:35	00:07:33.531	-58.616
06/15/2022 13:30:35	00:07:33.634	-57.354
06/15/2022 13:30:35	00:07:33.736	-57.767
06/15/2022 13:30:35	00:07:33.838	-58.464
06/15/2022 13:30:35	00:07:33.940	-59.265
06/15/2022 13:30:36	00:07:34.042	-58.331
06/15/2022 13:30:36	00:07:34.144	-58.259
06/15/2022 13:30:36	00:07:34.245	-57.679
06/15/2022 13:30:36	00:07:34.345	-58.443
